,index,Player,G,GS,MP,PTS,AST,TRB,ORB,DRB,STL,BLK,TOV,PF,FGA,FG,3PA,3P,FTA,FT,FG%,3P%,FT%,eFG%,Rk,Age,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
479,479,Ryan Dunn,74.0,44.0,19.1,6.9,0.8,3.6,1.2,2.4,0.6,0.5,0.5,2.2,6.4,2.8,3.6,1.1,0.5,0.3,0.43,0.311,0.487,0.516,194.0,22.0,10.7,0.517,0.553,0.082,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7,0.2,0.7,1.0,0.034,-2.9,-1.2,-4.1,-0.7
480,480,Ryan Rollins,56.0,19.0,14.6,6.2,1.9,1.9,0.4,1.6,0.8,0.3,0.9,1.6,4.8,2.4,2.1,0.9,0.8,0.6,0.487,0.408,0.8,0.577,302.0,22.0,14.0,0.6,0.443,0.166,2.9,11.1,7.2,17.8,2.5,1.9,15.4,18.4,0.7,1.0,1.7,0.101,-1.4,0.9,-0.5,0.3
481,481,Sam Hauser,71.0,19.0,21.7,8.5,0.9,3.2,0.6,2.5,0.6,0.2,0.3,1.2,6.7,3.0,5.6,2.3,0.2,0.2,0.451,0.416,1.0,0.627,169.0,27.0,12.8,0.632,0.842,0.023,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3,2.6,1.8,4.4,0.136,0.9,-0.1,0.8,1.1
482,482,Sam Merrill,71.0,4.0,19.7,7.2,1.5,2.2,0.5,1.7,0.7,0.2,0.5,1.7,6.0,2.4,5.2,1.9,0.4,0.4,0.406,0.372,0.966,0.567,195.0,28.0,11.1,0.583,0.868,0.068,3.0,8.9,6.1,9.6,1.8,0.9,7.4,14.3,1.8,1.5,3.3,0.113,-0.4,0.7,0.3,0.8
483,483,Sandro Mamukelashvili,61.0,0.0,11.2,6.3,0.8,3.1,1.0,2.0,0.4,0.3,0.4,1.0,4.6,2.3,2.6,1.0,1.0,0.7,0.502,0.373,0.741,0.609,330.0,25.0,19.7,0.628,0.573,0.206,9.7,19.7,14.7,10.7,1.6,2.3,7.8,20.8,1.6,0.6,2.2,0.152,3.3,-1.0,2.3,0.7
484,484,Santi Aldama,65.0,16.0,25.5,12.5,2.9,6.4,1.4,5.0,0.8,0.4,1.1,1.2,10.0,4.8,5.0,1.8,1.4,1.0,0.483,0.368,0.691,0.576,151.0,24.0,16.8,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.9,2.0,5.0,0.144,2.5,0.7,3.2,2.2
485,485,Scoot Henderson,66.0,10.0,26.7,12.7,5.1,3.0,0.8,2.2,1.0,0.2,2.7,2.7,10.4,4.3,4.5,1.6,3.1,2.4,0.419,0.354,0.767,0.496,133.0,20.0,12.5,0.54,0.434,0.301,3.1,9.2,6.1,28.1,1.9,0.7,18.6,22.5,0.4,1.4,1.8,0.049,-1.4,-0.8,-2.2,-0.1
486,486,Scottie Barnes,65.0,65.0,32.8,19.3,5.8,7.7,1.7,6.0,1.4,1.0,2.8,1.7,16.4,7.3,4.3,1.2,4.6,3.5,0.446,0.271,0.755,0.482,71.0,23.0,17.8,0.523,0.263,0.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27.0,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3
487,487,Scotty Pippen Jr.,79.0,21.0,21.3,9.9,4.4,3.3,0.8,2.5,1.3,0.4,1.7,2.6,7.5,3.6,2.8,1.1,2.2,1.5,0.48,0.397,0.713,0.553,149.0,24.0,15.8,0.582,0.369,0.288,4.1,12.1,8.1,27.1,2.8,1.6,17.1,19.3,2.4,2.3,4.7,0.133,0.0,1.8,1.9,1.7
488,488,Seth Curry,68.0,14.0,15.6,6.5,0.9,1.7,0.4,1.3,0.4,0.1,0.5,0.9,5.0,2.4,2.7,1.2,0.6,0.5,0.478,0.456,0.846,0.599,259.0,34.0,12.2,0.616,0.531,0.114,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7,1.3,0.5,1.8,0.08,-0.8,-0.9,-1.7,0.1
489,489,Shaedon Sharpe,72.0,52.0,31.3,18.5,2.8,4.5,0.9,3.6,0.9,0.2,2.1,1.7,15.3,6.9,6.6,2.0,3.4,2.6,0.452,0.311,0.785,0.519,50.0,21.0,14.5,0.551,0.428,0.219,3.2,12.7,7.8,14.2,1.3,0.6,11.0,25.1,1.3,1.7,3.0,0.064,0.0,-1.3,-1.3,0.4
490,490,Shai Gilgeous-Alexander,76.0,76.0,34.2,32.7,6.4,5.0,0.9,4.1,1.7,1.0,2.4,2.2,21.8,11.3,5.7,2.1,8.8,7.9,0.519,0.375,0.898,0.569,18.0,26.0,30.7,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3.0,8.6,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9
491,491,Shake Milton,57.0,2.0,29.7,11.3,3.7,3.7,1.1,2.6,0.8999999999999999,0.1,1.4,2.4000000000000004,9.0,4.1,3.8000000000000003,1.3,2.1,1.6,0.449,0.3415,0.802,0.5195000000000001,298.0,28.0,11.733333333333334,0.5593333333333333,0.409,0.23666666666666666,4.233333333333333,10.166666666666666,7.2,18.0,1.4666666666666668,0.5,12.833333333333334,16.666666666666668,0.5333333333333333,0.3666666666666667,0.9,0.075,-1.8666666666666665,-0.5333333333333333,-2.3666666666666667,-0.03333333333333333
492,492,Sidy Cissoko,22.0,0.0,15.2,3.3,2.2,2.8000000000000003,1.2,1.6,0.30000000000000004,0.2,1.9000000000000001,1.2000000000000002,3.5,1.3,1.6,0.2,1.0,0.5,0.4165,0.2145,0.41700000000000004,0.45799999999999996,489.0,20.0,6.866666666666666,0.45966666666666667,0.4406666666666667,0.29433333333333334,7.366666666666667,12.466666666666667,9.9,17.633333333333333,0.8666666666666667,0.7666666666666666,24.53333333333333,16.666666666666668,-0.13333333333333333,0.03333333333333333,-0.10000000000000002,-0.042333333333333334,-4.7,-0.3,-5.0,-0.06666666666666667
493,493,Simone Fontecchio,75.0,0.0,16.5,5.9,0.9,2.9,0.7,2.2,0.4,0.2,0.7,1.3,5.0,2.0,3.0,1.0,1.1,0.9,0.402,0.335,0.833,0.504,228.0,29.0,9.7,0.544,0.609,0.225,4.7,14.5,9.6,6.9,1.2,0.9,11.6,15.8,0.4,1.2,1.6,0.063,-2.2,-0.7,-2.9,-0.3
494,494,Skal Labissière,4.0,0.0,3.0,1.3,0.3,0.8,0.3,0.5,0.0,0.0,0.0,0.3,1.0,0.5,0.3,0.3,0.0,0.0,0.5,1.0,0.0,0.625,555.0,28.0,15.9,0.625,0.25,0.0,9.3,18.7,14.0,11.6,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.165,3.3,-1.3,2.1,0.0
495,495,Spencer Dinwiddie,79.0,30.0,27.0,11.0,4.4,2.6,0.2,2.4,0.9,0.2,1.3,1.5,8.6,3.6,4.1,1.4,3.1,2.5,0.416,0.334,0.802,0.496,70.0,31.0,13.0,0.553,0.478,0.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,2.4,1.2,3.7,0.082,-0.9,-0.7,-1.6,0.2
496,496,Spencer Jones,20.0,0.0,6.3,1.3,0.3,0.9,0.4,0.5,0.3,0.3,0.3,0.9,1.7,0.6,0.9,0.1,0.2,0.2,0.324,0.059,1.0,0.338,481.0,23.0,4.5,0.368,0.5,0.088,7.4,7.5,7.5,4.7,1.9,3.6,12.4,13.7,-0.2,0.1,-0.1,-0.031,-7.7,-0.8,-8.5,-0.2
497,497,Stanley Umude,22.0,0.0,3.9,0.7,0.2,0.8,0.2,0.6,0.1,0.3,0.1,0.4,1.2,0.2,0.7,0.1,0.2,0.1,0.192,0.2,0.5,0.25,501.0,25.0,3.4,0.27,0.577,0.154,5.3,15.8,10.7,5.7,1.7,6.5,9.8,15.7,-0.3,0.1,-0.2,-0.086,-7.5,-0.7,-8.1,-0.1
498,498,Stephen Curry,70.0,70.0,32.2,24.5,6.0,4.4,0.6,3.9,1.1,0.4,2.9,1.4,18.0,8.1,11.2,4.4,4.3,4.0,0.448,0.397,0.933,0.572,51.0,36.0,21.5,0.618,0.623,0.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,5.2,2.7,7.9,0.168,6.4,0.0,6.3,4.8
499,499,Stephon Castle,81.0,47.0,26.7,14.7,4.1,3.7,1.1,2.6,0.9,0.3,2.2,2.0,12.2,5.2,4.1,1.2,4.2,3.1,0.428,0.285,0.724,0.476,65.0,20.0,13.7,0.522,0.337,0.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,0.1,1.0,1.1,0.025,-1.5,-1.7,-3.2,-0.6
500,500,Steven Adams,58.0,3.0,13.7,3.9,1.1,5.6,2.9,2.8,0.4,0.5,0.9,1.0,2.9,1.6,0.0,0.0,1.6,0.7,0.545,0.0,0.462,0.545,304.0,31.0,16.6,0.541,0.012,0.557,21.8,22.0,21.9,10.9,1.3,3.2,20.6,13.6,1.0,1.3,2.3,0.137,0.0,0.3,0.3,0.5
501,501,Svi Mykhailiuk,38.0,13.0,20.0,8.8,2.0,2.4,0.6,1.8,0.5,0.2,1.4,1.1,7.9,3.1,5.3,1.8,0.9,0.7,0.391,0.345,0.8,0.507,318.0,27.0,9.8,0.526,0.672,0.116,3.1,9.6,6.4,14.7,1.2,0.9,14.1,20.3,-0.2,0.1,-0.1,-0.009,-1.4,-2.1,-3.5,-0.3
502,502,T.J. McConnell,79.0,1.0,17.9,9.1,4.4,2.4,0.6,1.9,1.1,0.3,1.4,1.0,7.9,4.1,0.6,0.2,1.0,0.7,0.519,0.306,0.74,0.531,192.0,32.0,18.4,0.547,0.079,0.123,3.5,11.6,7.6,37.0,2.8,1.3,14.2,23.4,1.5,1.7,3.2,0.109,0.6,0.6,1.2,1.2
503,503,Taj Gibson,37.0,11.0,11.1,2.9,0.6,3.2,1.4,1.9,0.2,0.5,0.7,1.5,2.6,1.3,0.1,0.0,0.5,0.3,0.495,0.5,0.6,0.5,398.0,39.0,10.8,0.515,0.021,0.211,13.0,18.4,15.6,7.5,1.1,4.3,19.4,13.4,0.0,0.4,0.4,0.043,-5.2,-0.1,-5.3,-0.3
504,504,Talen Horton-Tucker,58.0,0.0,12.5,6.5,1.4,1.7,0.3,1.4,0.4,0.2,0.7,1.0,5.0,2.3,2.1,0.7,1.7,1.2,0.457,0.336,0.735,0.527,323.0,24.0,13.8,0.567,0.419,0.337,2.8,11.5,7.2,16.1,1.4,1.3,10.7,21.6,0.6,0.5,1.1,0.075,-1.4,-1.1,-2.4,-0.1
505,505,Tari Eason,57.0,16.0,24.9,12.0,1.5,6.4,2.2,4.1,1.7,0.9,1.1,2.4,9.8,4.8,3.2,1.1,1.8,1.4,0.487,0.342,0.76,0.543,190.0,23.0,18.5,0.567,0.329,0.186,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,2.1,2.9,5.0,0.169,1.0,2.6,3.6,2.0
